 (1.000000000000000056e-01+0.000000000000000000e+00j), (3.109999999999999876e+00+0.000000000000000000e+00j), (4.760798135088560867e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (3.209999999999999964e+00+0.000000000000000000e+00j), (4.766380389689520714e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (3.310000000000000053e+00+0.000000000000000000e+00j), (4.771708345670618301e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (3.410000000000000142e+00+0.000000000000000000e+00j), (4.776799053587931221e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (3.509999999999999787e+00+0.000000000000000000e+00j), (4.781668216042843644e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (3.609999999999999876e+00+0.000000000000000000e+00j), (4.786329052110805948e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (3.709999999999999964e+00+0.000000000000000000e+00j), (4.790795453964011297e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (3.810000000000000053e+00+0.000000000000000000e+00j), (4.795079103300541878e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (3.910000000000000142e+00+0.000000000000000000e+00j), (4.799191099994595811e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (4.009999999999999787e+00+0.000000000000000000e+00j), (4.803141164595087220e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (4.110000000000000320e+00+0.000000000000000000e+00j), (4.806939030847169336e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (4.209999999999999964e+00+0.000000000000000000e+00j), (4.810593907441226835e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (4.309999999999999609e+00+0.000000000000000000e+00j), (4.814112204745972234e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (4.410000000000000142e+00+0.000000000000000000e+00j), (4.817502519371830161e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (4.509999999999999787e+00+0.000000000000000000e+00j), (4.820770912322783763e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (4.610000000000000320e+00+0.000000000000000000e+00j), (4.823924938895629011e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (4.709999999999999964e+00+0.000000000000000000e+00j), (4.826969942707928229e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (4.810000000000000497e+00+0.000000000000000000e+00j), (4.829911476246885882e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (4.910000000000000142e+00+0.000000000000000000e+00j), (4.832754722449650875e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (5.009999999999999787e+00+0.000000000000000000e+00j), (4.835504253006509545e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (5.110000000000000320e+00+0.000000000000000000e+00j), (4.838165134813381396e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (5.209999999999999964e+00+0.000000000000000000e+00j), (4.840741344207927788e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (5.310000000000000497e+00+0.000000000000000000e+00j), (4.843237520022418141e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (5.410000000000000142e+00+0.000000000000000000e+00j), (4.845656052580132322e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (5.509999999999999787e+00+0.000000000000000000e+00j), (4.848001125672723455e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (5.610000000000000320e+00+0.000000000000000000e+00j), (4.850276170417037180e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (5.709999999999999964e+00+0.000000000000000000e+00j), (4.852484016806969391e-01+0.000000000000000000e+00j)
 (1.000000000000000056e-01+0.000000000000000000e+00j), (5.810000000000000497e+00+0.000000000000000000e+00j), (4.854626980058153185e-01+0.000000000000000000e+00j)
